JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
46,4700234,0.659831034,0.012209634,1.999659557,0.024591671,1.65501398,112000,89600,71.31911517,8277.898327,147.3716404,8139.492451
48,2200289,14.43581611,0.08801038,2.744236337,0.08639045,2.259595329,156799.9973,125439.9978,524.8749234,11360.18844,517.7299427,11112.87249
48,4800408,14.58065732,3.053334089,0.088893429,2.515062418,0.087257299,156799.9973,125439.9978,12639.74613,530.1412359,12369.28026,522.9245663
49,4700272,0.177027839,0.002604935,0.770589993,0.002558857,0.645705055,112000,89600,15.53527155,3189.975808,15.34724221,3175.629624
51,4700232,0.128747517,0.000528279,0.379581764,0.000471061,0.313920187,156799.9973,125439.9978,3.150544014,1571.337099,2.874096001,1543.884844
52,53,9.994026301,0.184931283,3.179479817,0.37248594,2.619722261,112000,89600,1080.223688,13161.94577,2232.141222,12884.00578
52,42,37.30459441,15.0997747,0.690291009,11.4871161,1.390376596,112000,89600,62507.84004,4032.139333,56494.56497,8331.889516
53,1200299,8.416869151,7.074335094,0.15574728,5.827541884,0.313703804,112000,89600,29285.2983,909.7536027,28660.32175,1879.887047
54,2900444,5.697077699,0.023376361,3.039774747,0.021214301,2.507437327,156799.9973,125439.9978,139.4115744,12583.61515,127.1787496,12331.77937
55,2900445,0.852952274,1.030887754,0.00349985,0.68166145,0.003168881,156799.9973,125439.9978,4267.518431,20.87235346,3352.466104,19.04088542
55,4000038,34.98713819,0.143559911,6.651289181,0.130326144,5.476654994,156799.9973,125439.9978,856.1603468,27534.03467,781.0355981,26934.63179
56,2900442,2.365735726,0.034811407,3.60197971,0.034222858,2.981577018,112000,89600,207.607725,14910.94907,205.0949692,14663.63663
57,2900431,17.15560679,0.317450472,23.97531681,0.639404806,19.79985606,112000,89600,1854.296984,99249.51185,3831.662631,97377.29152
59,2900022,6.485656658,1.07579888,0.026612074,0.885950963,0.024151929,156799.9973,125439.9978,4453.434944,158.7086667,4357.178563,144.7825969
61,2100172,12.50460285,0.231387448,4.541866939,0.466057498,3.742158923,112000,89600,1351.584216,18801.75683,2792.872327,18404.23994
66,2900083,1.818558712,0.578543045,0.033650942,0.476688498,0.067778545,112000,89600,2394.967929,196.5624403,2344.392622,406.1706207
68,2900408,4.152107397,0.189266375,0.076831351,0.171821872,0.154752108,112000,89600,906.7639525,448.7885692,923.6577777,927.3629867
69,2900097,14.03348011,0.085557471,5.839481772,0.083982541,4.809251565,156799.9973,125439.9978,510.2463028,24173.43303,503.3004575,23652.28774
71,2900619,0.498896644,0.783947225,0.002047082,0.649509178,0.001849947,537600.0213,537600.0213,3245.270124,12.20835844,3194.338619,11.13712235
75,1800069,19.2477543,3.192800432,0.356163951,2.629364012,0.717381119,112000,89600,13217.08851,2080.4308,12931.42477,4298.938637
76,1800077,30.99596581,7.491624241,0.573554996,5.878086286,1.155248052,112000,89600,31012.73091,3350.258993,28908.90329,6922.872816
76,3900292,11.18494049,0.206968176,4.774256329,0.416872436,3.934296065,112000,89600,1208.945954,19763.76846,2498.128981,19349.18592
77,1800578,0.724204781,0.883736728,0.002971571,0.583353255,0.002689269,492800.0108,492800.0108,3658.364124,17.72181003,2868.978456,16.16678996
79,1900526,5.713171123,0.023442396,2.012555971,0.021274253,1.546735652,156799.9973,125439.9978,139.805392,8331.285016,127.5380113,7606.970962
